Identifiant;Composant;Nom;Matériau;Qté;Fonction;Type;Section;Longueur (mm);Masse (kg);Mobile;Sous-ensemble soudé;Statut;Dans BOM
11-RD-N2-TB;11_RACK_RIGHT;Tablette tôle;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;tôle;Tôle ép. 2;;6.724;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N3-L1;11_RACK_RIGHT;Longeron de tablette;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;900;1.583;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N3-L2;11_RACK_RIGHT;Longeron de tablette;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;900;1.583;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N3-T1;11_RACK_RIGHT;Traverse de tablette;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;390;0.686;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N3-T2;11_RACK_RIGHT;Traverse de tablette;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;390;0.686;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N3-TB;11_RACK_RIGHT;Tablette tôle;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;tôle;Tôle ép. 2;;6.724;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
13-PLA-AVG;13_WHEEL_SUPPORTS;Platine porte-roue;S235JR galvanisé à chaud;1;Support de roulette soudé sous longeron, traverse d'extrémité et traverse intermédiaire;plat;Tôle ép. 10;;7.840;;A — caisse mécano-soudée;;oui
13-CAL-AVG;13_WHEEL_SUPPORTS;Cale de roulette;S235JR galvanisé à chaud;1;Rattrapage de hauteur roulette;plat;Plat ép. 15;;2.057;;A — caisse mécano-soudée;PROVISOIRE (dépend de la roulette retenue);oui
12-ROU-AVG;12_WHEELS;Roulette pivotante Ø200 à frein total;Acier zingué / caoutchouc plein (achat);1;Roulage chantier, orientation, immobilisation;acheté;Ø200×50 H245 CMU 500 kg;;9.500;;;PROVISOIRE (référence catalogue);oui
24-VIS-AVG1;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
24-VIS-AVG2;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
24-VIS-AVG3;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
24-VIS-AVG4;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
13-PLA-AVD;13_WHEEL_SUPPORTS;Platine porte-roue;S235JR galvanisé à chaud;1;Support de roulette soudé sous longeron, traverse d'extrémité et traverse intermédiaire;plat;Tôle ép. 10;;7.840;;A — caisse mécano-soudée;;oui
13-CAL-AVD;13_WHEEL_SUPPORTS;Cale de roulette;S235JR galvanisé à chaud;1;Rattrapage de hauteur roulette;plat;Plat ép. 15;;2.057;;A — caisse mécano-soudée;PROVISOIRE (dépend de la roulette retenue);oui
12-ROU-AVD;12_WHEELS;Roulette pivotante Ø200 à frein total;Acier zingué / caoutchouc plein (achat);1;Roulage chantier, orientation, immobilisation;acheté;Ø200×50 H245 CMU 500 kg;;9.500;;;PROVISOIRE (référence catalogue);oui
24-VIS-AVD1;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
24-VIS-AVD2;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
24-VIS-AVD3;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
24-VIS-AVD4;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
13-PLA-ARG;13_WHEEL_SUPPORTS;Platine porte-roue;S235JR galvanisé à chaud;1;Support de roulette soudé sous longeron, traverse d'extrémité et traverse intermédiaire;plat;Tôle ép. 10;;7.840;;A — caisse mécano-soudée;;oui
13-CAL-ARG;13_WHEEL_SUPPORTS;Cale de roulette;S235JR galvanisé à chaud;1;Rattrapage de hauteur roulette;plat;Plat ép. 15;;2.057;;A — caisse mécano-soudée;PROVISOIRE (dépend de la roulette retenue);oui
12-ROU-ARG;12_WHEELS;Roulette pivotante Ø200 à blocage directionnel;Acier zingué / caoutchouc plein (achat);1;Roulage chantier, orientation, marche en ligne;acheté;Ø200×50 H245 CMU 500 kg;;9.500;;;PROVISOIRE (référence catalogue);oui
24-VIS-ARG1;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
24-VIS-ARG2;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
24-VIS-ARG3;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
24-VIS-ARG4;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
13-PLA-ARD;13_WHEEL_SUPPORTS;Platine porte-roue;S235JR galvanisé à chaud;1;Support de roulette soudé sous longeron, traverse d'extrémité et traverse intermédiaire;plat;Tôle ép. 10;;7.840;;A — caisse mécano-soudée;;oui
13-CAL-ARD;13_WHEEL_SUPPORTS;Cale de roulette;S235JR galvanisé à chaud;1;Rattrapage de hauteur roulette;plat;Plat ép. 15;;2.057;;A — caisse mécano-soudée;PROVISOIRE (dépend de la roulette retenue);oui
12-ROU-ARD;12_WHEELS;Roulette pivotante Ø200 à blocage directionnel;Acier zingué / caoutchouc plein (achat);1;Roulage chantier, orientation, marche en ligne;acheté;Ø200×50 H245 CMU 500 kg;;9.500;;;PROVISOIRE (référence catalogue);oui
24-VIS-ARD1;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
24-VIS-ARD2;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
24-VIS-ARD3;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
24-VIS-ARD4;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;Acier cl. 8.8 zingué;1;Fixation démontable de roulette;quincaillerie;M12×50;;0.075;;;;oui
14-BAR;14_HANDLING_BAR_LEFT;Barre de manutention;S235JR galvanisé à chaud;1;Pousser / tirer / orienter HURAVA à la main;profilé;Tube rond Ø33.7×4.0;900;2.637;;A — caisse mécano-soudée;;oui
14-SUP1;14_HANDLING_BAR_LEFT;Support de barre;S235JR galvanisé à chaud;1;Liaison barre / lisse latérale au travers du panneau;plat;Plat 60×10;77;0.328;;A — caisse mécano-soudée;;oui
14-SUP2;14_HANDLING_BAR_LEFT;Support de barre;S235JR galvanisé à chaud;1;Liaison barre / lisse latérale au travers du panneau;plat;Plat 60×10;77;0.328;;A — caisse mécano-soudée;;oui
15-BAR;15_HANDLING_BAR_RIGHT;Barre de manutention;S235JR galvanisé à chaud;1;Pousser / tirer / orienter HURAVA à la main;profilé;Tube rond Ø33.7×4.0;900;2.637;;A — caisse mécano-soudée;;oui
15-SUP1;15_HANDLING_BAR_RIGHT;Support de barre;S235JR galvanisé à chaud;1;Liaison barre / lisse latérale au travers du panneau;plat;Plat 60×10;77;0.328;;A — caisse mécano-soudée;;oui
15-SUP2;15_HANDLING_BAR_RIGHT;Support de barre;S235JR galvanisé à chaud;1;Liaison barre / lisse latérale au travers du panneau;plat;Plat 60×10;77;0.328;;A — caisse mécano-soudée;;oui
16-FOU;16_FORK_POCKET_LEFT;Fourreau de fourches;S235JR galvanisé à chaud;1;Manutention par chariot élévateur, ouvert AV et AR;profilé;Tube rect. 230×80×5;1100;25.905;;A — caisse mécano-soudée;PROVISOIRE (section, entraxe);oui
16-GOU-AVG;16_FORK_POCKET_LEFT;Gousset fourreau / longeron;S235JR galvanisé à chaud;1;Renfort d'encastrement du fourreau;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
16-GOU-AVD;16_FORK_POCKET_LEFT;Gousset fourreau / longeron;S235JR galvanisé à chaud;1;Renfort d'encastrement du fourreau;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
16-GOU-ARG;16_FORK_POCKET_LEFT;Gousset fourreau / longeron;S235JR galvanisé à chaud;1;Renfort d'encastrement du fourreau;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
16-GOU-ARD;16_FORK_POCKET_LEFT;Gousset fourreau / longeron;S235JR galvanisé à chaud;1;Renfort d'encastrement du fourreau;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
17-FOU;17_FORK_POCKET_RIGHT;Fourreau de fourches;S235JR galvanisé à chaud;1;Manutention par chariot élévateur, ouvert AV et AR;profilé;Tube rect. 230×80×5;1100;25.905;;A — caisse mécano-soudée;PROVISOIRE (section, entraxe);oui
17-GOU-AVG;17_FORK_POCKET_RIGHT;Gousset fourreau / longeron;S235JR galvanisé à chaud;1;Renfort d'encastrement du fourreau;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
17-GOU-AVD;17_FORK_POCKET_RIGHT;Gousset fourreau / longeron;S235JR galvanisé à chaud;1;Renfort d'encastrement du fourreau;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
17-GOU-ARG;17_FORK_POCKET_RIGHT;Gousset fourreau / longeron;S235JR galvanisé à chaud;1;Renfort d'encastrement du fourreau;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
17-GOU-ARD;17_FORK_POCKET_RIGHT;Gousset fourreau / longeron;S235JR galvanisé à chaud;1;Renfort d'encastrement du fourreau;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
18-PLT;18_LIFTING_POINT_FL;Platine d'oreille de levage;S235JR galvanisé à chaud;1;Répartition de l'effort de levage sur le nœud cadre haut / montant;plat;Plat 80×80×12;;0.603;;A — caisse mécano-soudée;;oui
18-ORE;18_LIFTING_POINT_FL;Oreille de levage;S235JR galvanisé à chaud;1;Point d'élingage (manille);pièce découpée;Tôle ép. 15 oxycoupée;;0.484;;A — caisse mécano-soudée;PROVISOIRE (CMU à calculer);oui
19-PLT;19_LIFTING_POINT_FR;Platine d'oreille de levage;S235JR galvanisé à chaud;1;Répartition de l'effort de levage sur le nœud cadre haut / montant;plat;Plat 80×80×12;;0.603;;A — caisse mécano-soudée;;oui
19-ORE;19_LIFTING_POINT_FR;Oreille de levage;S235JR galvanisé à chaud;1;Point d'élingage (manille);pièce découpée;Tôle ép. 15 oxycoupée;;0.484;;A — caisse mécano-soudée;PROVISOIRE (CMU à calculer);oui
20-PLT;20_LIFTING_POINT_RL;Platine d'oreille de levage;S235JR galvanisé à chaud;1;Répartition de l'effort de levage sur le nœud cadre haut / montant;plat;Plat 80×80×12;;0.603;;A — caisse mécano-soudée;;oui
20-ORE;20_LIFTING_POINT_RL;Oreille de levage;S235JR galvanisé à chaud;1;Point d'élingage (manille);pièce découpée;Tôle ép. 15 oxycoupée;;0.484;;A — caisse mécano-soudée;PROVISOIRE (CMU à calculer);oui
21-PLT;21_LIFTING_POINT_RR;Platine d'oreille de levage;S235JR galvanisé à chaud;1;Répartition de l'effort de levage sur le nœud cadre haut / montant;plat;Plat 80×80×12;;0.603;;A — caisse mécano-soudée;;oui
21-ORE;21_LIFTING_POINT_RR;Oreille de levage;S235JR galvanisé à chaud;1;Point d'élingage (manille);pièce découpée;Tôle ép. 15 oxycoupée;;0.484;;A — caisse mécano-soudée;PROVISOIRE (CMU à calculer);oui
22-PLT;22_HITCH_HOOK;Platine d'attelage;S235JR galvanisé à chaud;1;Liaison crochet / longeron arrière, dans l'axe de la traverse centrale;plat;Plat 140×59×15;;0.973;;A — caisse mécano-soudée;;oui
22-CRO;22_HITCH_HOOK;Crochet d'attelage ouvert vers le haut (sans ressort);S235JR galvanisé à chaud;1;Réception de l'anneau articulé de l'engin tracteur — retenue par gravité (bec de 55);pièce découpée;Tôle ép. 25 oxycoupée;;1.383;;A — caisse mécano-soudée;PROVISOIRE (nuance S355 ou pièce forgée à étudier, hauteur d'attelage);oui
23-ANN;23_ARTICULATED_TOWING_RING;Anneau de traction articulé (côté engin);Acier forgé (interface engin);1;"Entre dans le crochet HURAVA ; articulation autour de l'axe transversal";interface;Anneau Ø70 int., section Ø24;;1.406;;;Interface engin — hors périmètre HURAVA;non (interface)
23-CHA-G;23_ARTICULATED_TOWING_RING;Flasque de chape (côté engin);Interface engin;1;Chape d'articulation de l'anneau;interface;;;0.391;;;;non (interface)
23-CHA-D;23_ARTICULATED_TOWING_RING;Flasque de chape (côté engin);Interface engin;1;Chape d'articulation de l'anneau;interface;;;0.391;;;;non (interface)
23-AXE;23_ARTICULATED_TOWING_RING;Axe d'articulation Ø20 (côté engin);Interface engin;1;Articulation de l'anneau;interface;;;0.133;;;;non (interface)
23-TIM;23_ARTICULATED_TOWING_RING;Timon / traverse de l'engin (représentation);Interface engin;1;Repère de position de l'engin tracteur;interface;;;2.089;;;;non (interface)
25-LOG-AR;25_LOGO;Marquage HURAVA by ARCHIACCESS — face arrière;Adhésif polymère 0,3;1;Identification produit;marquage;Film adhésif découpé;;0.050;;;;oui
25-LOG-AV;25_LOGO;Marquage HURAVA — vantail gauche;Adhésif polymère 0,3;1;Identification produit;marquage;Film adhésif découpé;;0.020;DOOR_L;;;oui
